"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMXP","EMXP_ATTRIBUTES"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1914",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1916","2.44"," ,6,0123, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1917","3.41"," ,6,1130, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1918","1.70"," ,6,1206, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1919","2.51"," ,6,0209, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1920","2.60"," ,6,1117, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1926",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1932","2.70"," ,0,1223, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1933","2.90"," ,0,0102, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1934","2.61"," ,0,0114, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1935","2.39"," ,0,1211, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1936","2.90"," ,0,0102, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1937","3.57"," ,0,1210, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1938","2.87"," ,0,0206, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1939","3.65"," ,0,1209, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1940","3.34"," ,0,1218, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1941","5.25"," ,0,1202, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1942","2.80"," ,0,1230, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1943","3.26"," ,0,0121, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1944","3.10"," ,0,1103, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1945","3.55"," ,0,1128, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1946","2.90"," ,0,1118, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1947","2.23"," ,0,0302, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1948","4.20"," ,0,0106, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1949","2.60"," ,0,1109, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1950","5.35"," ,0,1029, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1951","4.03"," ,0,0204, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1952","3.13"," ,0,1201, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1953","4.80"," ,0,0118, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1954","4.00"," ,0,0127, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1955","3.80"," ,0,1221, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1956","4.32"," ,0,0221, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1957","3.76"," ,0,1221, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1958","3.34"," ,0,0212, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1959","2.87"," ,0,0215, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1960","3.17"," ,0,1124, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1961","2.78"," ,0,0131, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1962","3.08"," ,0,1202, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1963","2.70"," ,0,1123, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1964",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1965",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1966",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1967","2.91"," ,0,0128, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1968","2.27"," ,0,0115, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1969","3.95"," ,0,1221, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1970","3.14"," ,0,0124, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1971","2.92"," ,0,1110, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1972",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1973","3.33"," ,0,1105, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1974","4.80"," ,0,0116, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1975","3.46"," ,0,0318, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1976","1.49"," ,0,0226, "
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1977",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1978",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1979",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1980",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1981",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1982",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1984",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1986",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1987",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1990",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1991",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1992",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1993",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1994",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1997",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1998",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1999",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2000",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2001",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2002",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2003",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2004",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2005",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2006",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2007",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2009",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","2010",,
